OBJECTID,STYLE,TIME1,TIME2,TIME3,TIME4,TYPE,Meter,RatePerHr,MaxTime,Long,Lat
1, , , , , ,PARKINGI METER,4601,2.5,2 HOURS,-123.37079208162,48.4300306459845
2, , , , , ,PARKING METER,4602,2.5,2 HOURS,-123.370753625364,48.430030769789
3, , , , , ,PARKING METER,4603,2.5,2 HOURS,-123.370715175307,48.4300317464354
4, , , , , ,PARKING METER,4604,2.5,2 HOURS,-123.370675437535,48.4300318743388
5, , , , , ,PARKING METER,4605,2.5,2 HOURS,-123.370636988833,48.4300328518544
6, , , , , ,PARKING METER,4606,2.5,2 HOURS,-123.370598531223,48.4300329756115
7, , , , , ,PARKING METER,4607,2.5,2 HOURS,-123.370363997451,48.4300351731153
8, , , , , ,PARKING METER,4608,2.5,2 HOURS,-123.370328285362,48.430035287953
9, , , , , ,PARKING METER,4609,2.5,2 HOURS,-123.370291800554,48.4300356625658
10, , , , , ,PARKING METER,4610,2.5,2 HOURS,-123.370255316274,48.4300362962665
11, , , , , ,PARKING METER,4611,2.5,2 HOURS,-123.370219635726,48.4300366592743
12, , , , , ,PARKING METER,4612,2.5,2 HOURS,-123.370185548007,48.4300370720304
13, , , , , ,PARKING METER,4613,2.5,2 HOURS,-123.3701510072,48.4300381996605
14, , , , , ,PARKING METER,4614,2.5,2 HOURS,-123.370116379753,48.4300391242362
15, , , , , ,PARKING METER,4615,2.5,2 HOURS,-123.370081527534,48.4300394395563
16, , , , , ,PARKING METER,4616,2.5,2 HOURS,-123.37004717044,48.4300403623428
17, , , , , ,PARKING METER,4617,2.5,2 HOURS,-123.37001231822,48.430040677642
18, , , , , ,PARKING METER,4513,2.5,2 HOURS,-123.369696359188,48.4299446103294
19, , , , , ,PARKING METER,4512,2.5,2 HOURS,-123.369694728976,48.4298843790338
20, , , , , ,PARKING METER,4511,2.5,2 HOURS,-123.3696930377,48.4298209442552
21, , , , , ,PARKING METER,4510,2.5,2 HOURS,-123.36987120163,48.4296779808119
22, , , , , ,PARKING METER,4509,2.5,2 HOURS,-123.369904231527,48.4296732181063
23, , , , , ,PARKING METER,4508,2.5,2 HOURS,-123.36993852001,48.4296682741161
24, , , , , ,PARKING METER,4507,2.5,2 HOURS,-123.369971379838,48.4296629901365
25, , , , , ,PARKING METER,4506,2.5,2 HOURS,-123.370004408365,48.4296582274065
26, , , , , ,PARKING METER,4505,2.5,2 HOURS,-123.370037438243,48.4296534655624
27, , , , , ,PARKING METER,4504,2.5,2 HOURS,-123.370137345158,48.4296091117103
28, , , , , ,PARKING METER,4503,2.5,2 HOURS,-123.370223601251,48.4295964362918
29, , , , , ,PARKING METER,4502,2.5,2 HOURS,-123.370309854603,48.4295837617171
30, , , , , ,PARKING METER,4501,2.5,2 HOURS,-123.370392566595,48.4295730138366
31, , , , , ,PARKING METER,4500,2.5,2 HOURS,-123.37047491117,48.4295623093625
